obj_oracle_match,obj_oracle_match_unbiased,closed_attr_match,closed_obj_match,closed_match,closed_seen_match,closed_unseen_match,closed_ca,closed_seen_ca,closed_unseen_ca,closed_ub_attr_match,closed_ub_obj_match,closed_ub_match,closed_ub_seen_match,closed_ub_unseen_match,closed_ub_ca,closed_ub_seen_ca,closed_ub_unseen_ca,open_attr_match,open_obj_match,open_match,open_seen_match,open_unseen_match,open_ca,open_seen_ca,open_unseen_ca,open_ub_attr_match,open_ub_obj_match,open_ub_match,open_ub_seen_match,open_ub_unseen_match,open_ub_ca,open_ub_seen_ca,open_ub_unseen_ca,seen_closed_attr_all_bias_max,unseen_closed_attr_all_bias_max,hm_closed_attr_all_bias_max,AUC_attr,seen_closed_attr,unseen_closed_attr,hm_closed_attr,seen_open_attr_all_bias_max,unseen_open_attr_all_bias_max,hm_open_attr_all_bias_max,hm_open_attr_all_bias_max_sa,hm_open_attr_all_bias_max_un,seen_open_attr,hm_open_attr,biasterm,best_unseen,best_seen,AUC,hm_unseen,hm_seen,best_hm,a_epoch
0.3095238208770752,0.5714285969734192,0.3333333432674408,0.02380952425301075,0.0,0.0,0.0,2.0,1.0,1.0,0.5714285969734192,0.02380952425301075,0.0,0.0,0.0,2.0,1.0,1.0,0.3333333432674408,0.02380952425301075,0.0,0.0,0.0,2.0,1.0,1.0,0.5714285969734192,0.02380952425301075,0.0,0.0,0.0,2.0,1.0,1.0,nan,nan,nan,0.0,0.523809552192688,0.6190476417541504,0.5674603581428528,0,0,0,0,0,0.6190476417541504,0.5674603581428528,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.3095238208770752,0.6666666865348816,0.4047619104385376,0.0476190485060215,0.0,0.0,0.0,2.0,1.0,1.0,0.6666666865348816,0.095238097012043,0.095238097012043,0.190476194024086,0.0,2.0,1.0,1.0,0.4047619104385376,0.0476190485060215,0.0,0.0,0.0,2.0,1.0,1.0,0.6666666865348816,0.095238097012043,0.095238097012043,0.190476194024086,0.0,2.0,1.0,1.0,nan,nan,nan,0.0,0.7142857313156128,0.6190476417541504,0.6632653474807739,0,0,0,0,0,0.6190476417541504,0.6632653474807739,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.3333333432674408,0.8095238208770752,0.4761904776096344,0.0714285746216774,0.0,0.0,0.0,2.0,1.0,1.0,0.738095223903656,0.1666666716337204,0.1666666716337204,0.3333333432674408,0.0,2.0,1.0,1.0,0.4761904776096344,0.0714285746216774,0.0,0.0,0.0,2.0,1.0,1.0,0.738095223903656,0.1666666716337204,0.1666666716337204,0.3333333432674408,0.0,2.0,1.0,1.0,nan,nan,nan,0.0,0.9523809552192688,0.523809552192688,0.6758832335472107,0,0,0,0,0,0.523809552192688,0.6758832335472107,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,2
0.3095238208770752,0.8095238208770752,0.4047619104385376,0.095238097012043,0.0,0.0,0.0,2.0,1.0,1.0,0.6666666865348816,0.190476194024086,0.190476194024086,0.380952388048172,0.0,2.0,1.0,1.0,0.4047619104385376,0.095238097012043,0.0,0.0,0.0,2.0,1.0,1.0,0.6666666865348816,0.190476194024086,0.190476194024086,0.380952388048172,0.0,2.0,1.0,1.0,nan,nan,nan,0.0,0.9523809552192688,0.380952388048172,0.5442177057266235,0,0,0,0,0,0.380952388048172,0.5442177057266235,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,3
0.2857142984867096,0.7857142686843872,0.3571428656578064,0.1428571492433548,0.0,0.0,0.0,2.0,1.0,1.0,0.6190476417541504,0.2380952388048172,0.2380952388048172,0.4761904776096344,0.0,2.0,1.0,1.0,0.3571428656578064,0.1428571492433548,0.0,0.0,0.0,2.0,1.0,1.0,0.6190476417541504,0.2380952388048172,0.2380952388048172,0.4761904776096344,0.0,2.0,1.0,1.0,nan,nan,nan,0.0,0.9523809552192688,0.2857142984867096,0.4395604431629181,0,0,0,0,0,0.2857142984867096,0.4395604431629181,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,4
0.2142857164144516,0.7142857313156128,0.3333333432674408,0.1666666716337204,0.0,0.0,0.0,2.0,1.0,1.0,0.6190476417541504,0.261904776096344,0.261904776096344,0.523809552192688,0.0,2.0,1.0,1.0,0.3333333432674408,0.1666666716337204,0.0,0.0,0.0,2.0,1.0,1.0,0.6190476417541504,0.261904776096344,0.261904776096344,0.523809552192688,0.0,2.0,1.0,1.0,nan,nan,nan,0.0,1.0,0.2380952388048172,0.38461536169052124,0,0,0,0,0,0.2380952388048172,0.38461536169052124,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,5
0.1666666716337204,0.6666666865348816,0.3571428656578064,0.1428571492433548,0.0,0.0,0.0,2.0,1.0,1.0,0.5952380895614624,0.261904776096344,0.261904776096344,0.523809552192688,0.0,2.0,1.0,1.0,0.3571428656578064,0.1428571492433548,0.0,0.0,0.0,2.0,1.0,1.0,0.5952380895614624,0.261904776096344,0.261904776096344,0.523809552192688,0.0,2.0,1.0,1.0,nan,nan,nan,0.0,1.0,0.190476194024086,0.320000022649765,0,0,0,0,0,0.190476194024086,0.320000022649765,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,6
0.1428571492433548,0.6428571343421936,0.3333333432674408,0.1666666716337204,0.0,0.0,0.0,2.0,1.0,1.0,0.5714285969734192,0.261904776096344,0.261904776096344,0.523809552192688,0.0,2.0,1.0,1.0,0.3333333432674408,0.1666666716337204,0.0,0.0,0.0,2.0,1.0,1.0,0.5714285969734192,0.261904776096344,0.261904776096344,0.523809552192688,0.0,2.0,1.0,1.0,nan,nan,nan,0.0,1.0,0.1428571492433548,0.25,0,0,0,0,0,0.1428571492433548,0.25,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,7
0.1666666716337204,0.6666666865348816,0.380952388048172,0.190476194024086,0.0,0.0,0.0,2.0,1.0,1.0,0.6190476417541504,0.3333333432674408,0.3333333432674408,0.6666666865348816,0.0,2.0,1.0,1.0,0.380952388048172,0.190476194024086,0.0,0.0,0.0,2.0,1.0,1.0,0.6190476417541504,0.3333333432674408,0.3333333432674408,0.6666666865348816,0.0,2.0,1.0,1.0,nan,nan,nan,0.0,1.0,0.2380952388048172,0.38461536169052124,0,0,0,0,0,0.2380952388048172,0.38461536169052124,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,8
0.1666666716337204,0.6666666865348816,0.4285714328289032,0.1666666716337204,0.0,0.0,0.0,2.0,1.0,1.0,0.6190476417541504,0.3333333432674408,0.3333333432674408,0.6666666865348816,0.0,2.0,1.0,1.0,0.4285714328289032,0.1666666716337204,0.0,0.0,0.0,2.0,1.0,1.0,0.6190476417541504,0.3333333432674408,0.3333333432674408,0.6666666865348816,0.0,2.0,1.0,1.0,nan,nan,nan,0.0,1.0,0.2380952388048172,0.38461536169052124,0,0,0,0,0,0.2380952388048172,0.38461536169052124,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,9
